acpid 2.0.34-2
act-bin 0.2.68-0
alacritty-git 1:0.15.0.2374.g6dbd785b-1
alacritty-themes 6.0.2-1
allsorts-tools 0.12.0-1
alsa-utils 1.2.12-1
anki-bin 24.06.3-1
ansible-core 2.17.5-1
apple-fonts 6-2
arandr 0.1.11-3
archlinux-themes-sddm 2.0-1
aria2 1.37.0-1
asciinema 2.4.0-3
atomicparsley 20240608.083822.1ed9031-1
atool 0.39.0-9
audacity 1:3.6.4-1
audacity-docs 1:3.6.4-1
automedia-git r194.1c96d1b-1
autotiling 1.9.3-2
autotrash 0.4.7-1
avizo 1.3-1
awesome 4.3-4
aws-cli-v2 2.18.10-1
base 3-2
base-devel 1-2
bash-completion 2.14.0-2
bat 0.24.0-2
bazel 7.3.2-1
bc 1.07.1-5
bemoji 0.4.0-1
betterdiscordctl 2.0.1-1
bind 9.20.3-1
blender 17:4.2.3-1
blueberry-wayland 1.4.8-1
bluez 5.78-1
bore 0.5.1-1
bpython 0.24-5
brightnessctl 0.5.1-3
btop 1.4.0-3
btrfs-progs 6.11-1
bun-bin 1.1.31-1
cargo-nextest 0.9.81-1
cargo-update 15.0.0-1
cargo-watch 8.5.3-1
catppuccin-cursors-frappe 0.4.0-1
catppuccin-cursors-latte 0.4.0-1
catppuccin-cursors-macchiato 0.4.0-1
catppuccin-cursors-mocha 0.4.0-1
catppuccin-gtk-theme-frappe 1.0.3-1
catppuccin-gtk-theme-latte 1.0.3-1
catppuccin-gtk-theme-macchiato 1.0.3-1
catppuccin-gtk-theme-mocha 1.0.3-1
ccache 4.10.2-2
chromium 130.0.6723.58-1
cinny-desktop-bin 4.2.2-1
citra-appimage 1:20240516-3
clang 18.1.8-4
cliphist 1:0.6.1-1
coolercontrol-bin 1.4.2-2
coturn 4.6.2-2
cowsay 3.8.3-1
cpupower 6.10-2
cuda 12.6.2-1
cuda-tools 12.6.2-1
cython 3.0.11-1
deno 1.46.3-2
devtools 1:1.2.1-1
dhcpcd 10.1.0-1
dhcping 1.2-4
dictd 1.13.1-5
direnv 2.35.0-1
discord 0.0.71-1
dmidecode 3.6-1
dnsmasq 2.90-1
docker 1:27.3.1-1
docker-buildx 0.17.1-1
docker-compose 2.29.7-1
docker-credential-secretservice 0.8.2-1
doctl 1.115.0-1
dolphin-emu 1:2409-1
dos2unix 7.5.2-2
dotbare 1.3.1-1
downgrade 11.4.2-1
ds4drv 0.5.1-4
dunst 1.11.0-1
e2fsprogs 1.47.1-4
easy-rsa 3.2.1-1
emacs 29.4-3
evcxr_repl 0.18.0-1
eww 0.6.0-1
expect 5.45.4-5
eza 0.20.4-1
fcitx5 5.1.11-1
fcitx5-configtool 5.1.6-1
fcitx5-gtk 5.1.3-1
fcitx5-mozc-ut 2.30.5618.102-1
fcitx5-qt 5.1.7-1
fd 10.2.0-1
feh 3.10.3-1
ffmpegthumbnailer 2.2.3-2
figlet 2.2.5-6
file-roller 44.3-1
firefox 131.0.3-1
firefox-developer-edition 132.0b9-1
firewalld 2.2.3-1
fish 3.7.1-2
fisher 4.4.5-1
flyctl-bin 0.2.72-1
fm-bin 1.1.0-1
fmt 11.0.2-1
fnlfmt 0.3.1-2
font-manager 0.9.0-2
fuzzel 1.11.1-2
fwupd 2.0.1-1
fzf 0.55.0-1
gamemode 1.8.2-1
gamescope 3.15.13-1
gammastep 2.0.9-4
gedit 48.0-1
gedit-plugins 48.0-2
ghcup-hs-bin 0.1.30.0-1
gifcurry 6.0.1.0_0-1
gifsicle 1.95-1
gimp 2.10.38-4
git 2.47.0-1
git-delta 0.18.2-1
git-lfs 3.5.1-1
github-cli 2.59.0-1
gitoxide 0.37.0-2
glow 2.0.0-1
gnome-calculator 47.0-1
gnome-disk-utility 46.1-1
gnome-keyring 1:46.2-1
gnuplot 6.0.1-1
gobject-introspection 1.82.0-1
goverlay 1.2-1
gparted 1.6.0-2
grc 1.13-2
greetd 0.10.3-1
grim 1.4.1-2
grimblast-git r110.d72bc8b-1
gst-libav 1.24.8-1
gst-plugin-gtk 1.24.8-1
gst-plugins-bad 1.24.8-1
gst-plugins-ugly 1.24.8-1
gstreamer-vaapi 1.24.8-1
gtk4-layer-shell 1.0.3-2
gucharmap 15.1.1-1
gum 0.14.5-1
helvum 0.5.1-1
hexyl 0.14.0-1
htop 3.3.0-3
hunspell 1.7.2-2
hunspell-en_us 2020.12.07-5
hydrus 594-1
hyperfine 1.18.0-2
hypridle 0.1.2-1
hyprland 0.41.2-3
hyprlock 0.4.1-1
hyprpaper 0.7.0-2
hyprpicker 0.3.0-1
hyprshade-rewrite-git r867.ff6695c-1
hyprswitch 2.1.3-1
