acpid 2.0.34-2
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
alacritty-git 1:0.14.0.2367.ga2653293-1
alacritty-themes 6.0.2-1
alsa-utils 1.2.12-1
ansible 10.5.0-1
arandr 0.1.11-3
archiso 80-1
asciinema 2.4.0-3
atomicparsley 20240608.083822.1ed9031-1
atool 0.39.0-9
aurvote 1.9-3
autotiling 1.9.3-2
autotrash 0.4.7-1
avizo 1.3-1
base 3-2
base-devel 1-2
bat 0.24.0-2
bc 1.07.1-5
betterdiscordctl 2.0.1-1
bind 9.20.2-1
blender 17:4.2.2-4
blueberry-wayland 1.4.8-1
bluez 5.78-1
bluez-utils 5.78-1
borg 1.4.0-2
brightnessctl 0.5.1-3
btop 1.4.0-3
bun-bin 1.1.30-1
cargo-nextest 0.9.81-1
cargo-update 15.0.0-1
cargo-watch 8.5.3-1
catppuccin-cursors-frappe 0.3.1-1
catppuccin-cursors-latte 0.3.1-1
catppuccin-cursors-macchiato 0.3.1-1
catppuccin-cursors-mocha 0.3.1-1
catppuccin-gtk-theme-frappe 1.0.3-1
catppuccin-gtk-theme-latte 1.0.3-1
catppuccin-gtk-theme-macchiato 1.0.3-1
catppuccin-gtk-theme-mocha 1.0.3-1
cava 0.10.2-2
ccache 4.10.2-2
chromium 129.0.6668.100-1
chrony 4.5-3
clang 18.1.8-3
cliphist 1:0.5.0-1
cpupower 6.10-2
deno 1.46.3-2
dhcpcd 10.1.0-1
dictd 1.13.1-5
direnv 2.35.0-1
discord 0.0.71-1
dmidecode 3.6-1
docker 1:27.3.1-1
docker-buildx 0.17.1-1
docker-compose 2.29.7-1
doctl 1.115.0-1
dos2unix 7.5.2-2
dotbare 1.3.1-1
dunst 1.11.0-1
expect 5.45.4-5
eza 0.20.2-1
fcitx5 5.1.11-1
fcitx5-configtool 5.1.6-1
fcitx5-gtk 5.1.3-1
fcitx5-mozc-ut 2.30.5618.102-1
fcitx5-qt 5.1.6-7
fd 10.2.0-1
feh 3.10.3-1
festival-english 2.5-2
festival-us 2.5-2
ffmpegthumbnailer 2.2.3-2
figlet 2.2.5-6
firefox 131.0.2-1
firefox-developer-edition 132.0b7-1
firewalld 2.2.1-1
fish 3.7.1-2
fisher-git 4.4.5.r1.g1f0dc2b-1
fm-bin 1.1.0-1
font-manager 0.9.0-2
fuzzel 1.11.1-2
fwupd 2.0.0-1
fzf 0.55.0-1
gammastep 2.0.9-4
git 2.47.0-1
git-delta 0.18.2-1
git-lfs 3.5.1-1
github-cli 2.58.0-1
glow 2.0.0-1
gnome-calculator 47.0-1
gnome-keyring 1:46.2-1
gnome-logs 45.0-1
gnome-tweaks 46.1-1
gnu-netcat 0.7.1-10
gobject-introspection 1.82.0-1
grc 1.13-2
greetd 0.10.3-1
grim 1.4.1-2
grimblast-git r108.1e531dc-1
gst-libav 1.24.8-1
gst-plugins-bad 1.24.8-1
gst-plugins-ugly 1.24.8-1
gum 0.14.5-1
helvum 0.5.1-1
htop 3.3.0-3
hunspell 1.7.2-2
hunspell-en_us 2020.12.07-5
hyperfine 1.18.0-2
hypridle 0.1.2-1
hyprland 0.41.2-3
hyprlock 0.4.1-1
hyprpaper 0.7.0-2
hyprpicker 0.3.0-1
hyprshade-rewrite-git r867.ff6695c-1
i3-wm 4.23-4
icat 0.5-1
iftop 1.0pre4-6
imagemagick 7.1.1.39-1
inetutils 2.5-1
intel-ucode 20240910-1
inxi 3.3.36.1-1
iotop 0.6-11
iptables-nft 1:1.8.10-2
ipython 8.28.0-1
irqbalance 1.9.4-2
iwd 2.22-1
jq 1.7.1-2
just 1.36.0-1
kimageformats5 5.116.0-2
kitty 0.36.4-1
krita 5.2.6-2
krita-plugin-gmic 3.2.4.1-5
kseexpr 4.0.4.0-2
laptop-mode-tools 1.74-1
lazydocker-bin 0.23.3-1
lazygit 0.44.1-1
lf 32-1
lib32-nvidia-utils 560.35.03-1
libfaketime 0.9.10-2
libnotify 0.8.3-1
libva-nvidia-driver 0.0.12-1
libva-utils 2.22.0-1
light-git 1.2.2.r6.gd717f1c-1
linux-firmware 20240909.552ed9b8-1
linux-zen 6.11.3.zen1-1
linux-zen-headers 6.11.3.zen1-1
lldb 18.1.8-1
lshw B.02.20-1
lua-sec 2:1.3.2-1
luarocks 3.11.1-2
lynx 2.9.2-1
man-db 2.13.0-1
